dataset,fold,n_features,train_score,val_score,test_score,metric
mitbih,4,20,0.9981511555277951,0.9882823235477827,0.9887067759344393,accuracy
mitbih,4,21,0.9983760149906309,0.9883073079325422,0.9885068958624825,accuracy
mitbih,4,22,0.9988257339163024,0.988632104934416,0.9891565060963422,accuracy
mitbih,4,23,0.9985758900687071,0.9888819487820112,0.9894563262042775,accuracy
mitbih,4,24,0.9987257963772642,0.9889569019362898,0.9893064161503098,accuracy
mitbih,4,25,0.9988507183010619,0.9893566520924422,0.9892064761143314,accuracy
mitbih,5,1,0.876002498438476,0.8733791380387258,0.87027783330002,accuracy
mitbih,5,2,0.9374391005621486,0.9318675827607745,0.9300919448331001,accuracy
mitbih,5,3,0.9727670206121174,0.9648969394128669,0.962972216669998,accuracy
mitbih,5,4,0.9827607745159276,0.9735665209244222,0.971916849890066,accuracy
mitbih,5,5,0.9875327920049969,0.9776389756402248,0.9761643014191486,accuracy
mitbih,5,6,0.9919300437226733,0.9805371642723298,0.9792124725164901,accuracy
mitbih,5,7,0.9939287945034353,0.9829606495940038,0.9812112732360584,accuracy
mitbih,5,8,0.9955527795128045,0.9851842598376015,0.9817609434339396,accuracy
mitbih,5,9,0.9962773266708307,0.9860836976889444,0.983310013991605,accuracy
mitbih,5,10,0.9968769519050593,0.9867582760774516,0.9836598041175295,accuracy
mitbih,5,11,0.9974515927545284,0.9869581511555278,0.9836098340995403,accuracy
mitbih,5,12,0.9974016239850094,0.9871080574640849,0.9840095942434539,accuracy
mitbih,5,13,0.9976764522173641,0.9872079950031231,0.9842094743154107,accuracy
mitbih,5,14,0.9979762648344784,0.9873579013116802,0.9843593843693784,accuracy
mitbih,5,15,0.9980012492192379,0.9874828232354779,0.9851089346392164,accuracy
mitbih,5,16,0.9978263585259213,0.9877826358525922,0.9851589046572057,accuracy
mitbih,5,17,0.9985509056839476,0.9880074953154279,0.9857085748550869,accuracy
mitbih,5,18,0.9983260462211118,0.9880824484697064,0.9857085748550869,accuracy
mitbih,5,19,0.9982510930668332,0.9883322923173017,0.9865580651609035,accuracy
mitbih,5,20,0.9986508432229856,0.9886570893191755,0.9866080351788926,accuracy
mitbih,5,21,0.9987257963772642,0.9889069331667708,0.9870577653407955,accuracy
mitbih,5,22,0.9988257339163024,0.9891817613991255,0.9873076154307415,accuracy
mitbih,5,23,0.9989256714553404,0.9894815740162398,0.9871077353587847,accuracy
svd,1,1,0.7069182389937106,0.6981132075471698,0.6758793969849246,accuracy
svd,1,2,0.7685534591194969,0.70062893081761,0.6733668341708543,accuracy
svd,1,3,0.8150943396226416,0.710691823899371,0.6909547738693468,accuracy
svd,1,4,0.8616352201257862,0.7169811320754716,0.7035175879396985,accuracy
svd,1,5,0.8880503144654088,0.720754716981132,0.6859296482412061,accuracy
svd,1,6,0.8918238993710692,0.7257861635220125,0.7035175879396985,accuracy
