dataset,variant,fold,score,n_features,time,metric,test_subject
svd,raw_only,4,0.6750629722921915,5,11.075745105743408,accuracy,
svd,raw_only,5,0.6649874055415617,2,5.413991928100586,accuracy,
svd,nsga2,1,0.6934673366834171,1,3.1009488105773926,accuracy,
svd,nsga2,2,0.6608040201005025,6,11.000216245651243,accuracy,
svd,nsga2,3,0.6557788944723618,5,9.337914943695068,accuracy,
svd,nsga2,4,0.6926952141057935,1,3.109865188598633,accuracy,
svd,nsga2,5,0.6423173803526449,2,4.603959083557129,accuracy,
svd,parallel,1,0.6934673366834171,10,4.9715330600738525,accuracy,
svd,parallel,2,0.7336683417085427,10,5.0127198696136475,accuracy,
svd,parallel,3,0.6658291457286433,10,5.074483156204224,accuracy,
svd,parallel,4,0.6876574307304786,10,4.99633526802063,accuracy,
svd,parallel,5,0.707808564231738,10,4.978136777877808,accuracy,
mitbih,resampling,1,0.9864088342577324,12,773.8189969062805,accuracy,
mitbih,resampling,2,0.9848598411032828,13,828.0269539356232,accuracy,
mitbih,resampling,3,0.9870577653407956,11,950.3701651096344,accuracy,
mitbih,resampling,4,0.9891565060963422,13,1392.2272789478302,accuracy,
mitbih,resampling,5,0.98740755546672,15,1620.5169520378113,accuracy,
mitbih,aggregate,1,0.9880577624544048,12,1161.7413160800934,accuracy,
mitbih,aggregate,2,0.987258282116624,15,1787.2810261249542,accuracy,
mitbih,aggregate,3,0.9894063561862882,15,1888.9494652748108,accuracy,
mitbih,aggregate,4,0.9915050969418348,20,2744.387261867523,accuracy,
mitbih,aggregate,5,0.988406955826504,18,1911.024412870407,accuracy,
mitbih,pattern,1,0.9882076650177384,16,1585.0069999694824,accuracy,
mitbih,pattern,2,0.9866087043421776,28,3099.684570789337,accuracy,
mitbih,pattern,3,0.9894063561862882,21,2902.6957700252533,accuracy,
mitbih,pattern,4,0.9880071956825904,15,1431.954980134964,accuracy,
mitbih,pattern,5,0.9870577653407956,22,2310.7777910232544,accuracy,
mitbih,decision_tree,1,0.9563783540698546,23,303.0882270336151,accuracy,
mitbih,decision_tree,2,0.9608254634487584,17,191.34144496917725,accuracy,
mitbih,decision_tree,3,0.95592644413352,30,512.8781509399414,accuracy,
mitbih,decision_tree,4,0.9592744353387967,20,228.9387891292572,accuracy,
mitbih,decision_tree,5,0.9558265040975414,23,295.6649520397186,accuracy,
mitbih,n_trials_1000,1,0.990456203467746,22,6857.172957897186,accuracy,
mitbih,n_trials_1000,2,0.9888072752710738,15,4246.920154809952,accuracy,
mitbih,n_trials_1000,3,0.990055966420148,19,5693.901569843292,accuracy,
mitbih,n_trials_1000,4,0.9906056366180293,19,6020.879118204117,accuracy,
mitbih,n_trials_1000,5,0.9889066560063962,22,7151.918904066086,accuracy,
mitbih,raw_only,1,0.98201169239994,17,1492.7098879814148,accuracy,
mitbih,raw_only,2,0.9806126018088244,18,1553.105936050415,accuracy,
mitbih,raw_only,3,0.981611033379972,17,1622.6209700107574,accuracy,
mitbih,raw_only,4,0.9824605236857884,16,2011.8419661521912,accuracy,
mitbih,raw_only,5,0.9789126524085549,13,1166.621663093567,accuracy,
mitbih,nsga2,1,0.9897066906510767,21,1832.6470971107483,accuracy,
mitbih,nsga2,2,0.9878578923699596,20,2073.753757953644,accuracy,
mitbih,nsga2,3,0.988157105736558,16,1553.6522250175476,accuracy,
mitbih,nsga2,4,0.9896562062762344,17,2559.8765020370483,accuracy,
mitbih,nsga2,5,0.9877573455926444,16,2572.3035459518433,accuracy,
mitbih,parallel,1,0.9817118872732724,10,103.56820106506348,accuracy,
mitbih,parallel,2,0.9807125368510468,10,101.37063598632812,accuracy,
mitbih,parallel,3,0.9824605236857884,10,105.08595895767212,accuracy,
mitbih,parallel,4,0.9803118129122528,10,99.18778109550476,accuracy,
mitbih,parallel,5,0.9806116330201878,10,99.42620182037354,accuracy,
remc_E003,resampling,1,0.9238682563893196,5,33.94592905044556,auc,
remc_E003,resampling,2,0.9288030845016582,10,64.9844241142273,auc,
remc_E003,resampling,3,0.9219275305978876,7,45.87927293777466,auc,
remc_E003,resampling,4,0.9297883797175568,8,53.50226879119873,auc,
remc_E003,resampling,5,0.9371163383991103,6,40.17910885810852,auc,
remc_E003,aggregate,1,0.9262984394395436,8,54.625134229660034,auc,
remc_E003,aggregate,2,0.9316701950478092,10,68.58029913902283,auc,
remc_E003,aggregate,3,0.9307244140298614,13,92.18603992462158,auc,
remc_E003,aggregate,4,0.9282183660068306,9,62.70774006843567,auc,
remc_E003,aggregate,5,0.9401613161825472,13,93.3773639202118,auc,
remc_E003,pattern,1,0.927294225354851,11,113.98122501373292,auc,
remc_E003,pattern,2,0.9277464858885875,10,107.78421592712402,auc,
remc_E003,pattern,3,0.9328719470268316,23,250.55886816978455,auc,
remc_E003,pattern,4,0.9306150905226226,14,148.3511781692505,auc,
remc_E003,pattern,5,0.9382041778221047,19,214.0610430240631,auc,
remc_E003,decision_tree,1,0.9152845552882845,15,54.43474102020264,auc,
remc_E003,decision_tree,2,0.9112205172882816,16,59.209672927856445,auc,
remc_E003,decision_tree,3,0.9085672316497412,15,54.14812970161438,auc,
remc_E003,decision_tree,4,0.9146883079219232,8,27.035803079605103,auc,
remc_E003,decision_tree,5,0.9275136724114962,9,30.62875485420227,auc,
