metric_name,metric_value,n_features,top_feature_name,top_feature_mean_abs_shap,subject_id,fold,dataset,rank,feature_name,mean_abs_shap,mean_shap_signed,direction_by_mean,value_effect_direction,feature_shap_corr
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,5,CGM deriv. 20-23,2.014442108731231,-0.08276354609738583,negative,higher value -> higher prediction,0.25939323032454076
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,6,CGM raw 21-23,1.8471177141096298,-0.8502478164404235,negative,higher value -> lower prediction,-0.27195433101042127
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,7,Carbs FFT 0-5,1.805989909241586,-0.25443377739502987,negative,higher value -> higher prediction,0.4269251029209607
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,8,Carbs deriv. 13-23,1.7674896592865739,0.012281218168092687,positive,higher value -> higher prediction,0.4586407349598755
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,9,CGM FFT 1-1,1.668325105749535,0.10378578426731534,positive,higher value -> lower prediction,-0.7982313334978242
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,10,Carbs raw 0-6,1.0973832251060474,-0.16495509586855986,negative,higher value -> higher prediction,0.031029363683073664
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,11,CGM deriv. 15-21,1.0657342499565492,0.08917660361184647,positive,higher value -> higher prediction,0.2700977684312097
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,12,CGM deriv. 0-15,0.9638979735765213,0.11590609210041138,positive,higher value -> higher prediction,0.109663218060671
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,13,Insulin deriv. 18-23,0.879576638605818,0.05486804889155749,positive,higher value -> higher prediction,0.06690325076198014
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,14,Insulin raw 2-2,0.799609285756589,0.3130273569052206,positive,higher value -> higher prediction,0.018777669798356243
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,15,Insulin z-score 6-13,0.6228421660774403,-0.13725190810684348,negative,higher value -> higher prediction,0.6171920868828673
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,16,Carbs deriv. 0-23,0.37809507762103145,0.03224043891946655,positive,higher value -> lower prediction,-0.1712468998636063
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,17,Insulin deriv. 16-20,0.2670220077022266,0.025852703381238913,positive,higher value -> higher prediction,0.19402037216170342
